theta,p,model
50.2,2.88127917970995e-05,brooklyn prior
50.3,2.88578222965206e-05,brooklyn prior
50.4,2.89028324430639e-05,brooklyn prior
50.5,2.89478222836216e-05,brooklyn prior
50.6,2.89927918648845e-05,brooklyn prior
50.7,2.90377412333434e-05,brooklyn prior
50.8,2.90826704352902e-05,brooklyn prior
50.9,2.91275795168191e-05,brooklyn prior
51,2.91724685238279e-05,brooklyn prior
51.1,2.92173375020193e-05,brooklyn prior
51.2,2.92621864969022e-05,brooklyn prior
51.3,2.93070155537923e-05,brooklyn prior
51.4,2.93518247178142e-05,brooklyn prior
51.5,2.93966140339017e-05,brooklyn prior
51.6,2.94413835467996e-05,brooklyn prior
51.7,2.94861333010644e-05,brooklyn prior
51.8,2.9530863341066e-05,brooklyn prior
51.9,2.95755737109882e-05,brooklyn prior
52,2.96202644548303e-05,brooklyn prior
52.1,2.9664935616408e-05,brooklyn prior
52.2,2.97095872393546e-05,brooklyn prior
52.3,2.9754219367122e-05,brooklyn prior
52.4,2.97988320429821e-05,brooklyn prior
52.5,2.98434253100273e-05,brooklyn prior
52.6,2.98879992111722e-05,brooklyn prior
52.7,2.99325537891544e-05,brooklyn prior
52.8,2.99770890865355e-05,brooklyn prior
52.9,3.00216051457021e-05,brooklyn prior
53,3.00661020088671e-05,brooklyn prior
53.1,3.01105797180707e-05,brooklyn prior
53.2,3.01550383151811e-05,brooklyn prior
53.3,3.01994778418958e-05,brooklyn prior
53.4,3.02438983397427e-05,brooklyn prior
53.5,3.02882998500809e-05,brooklyn prior
53.6,3.03326824141015e-05,brooklyn prior
53.7,3.03770460728293e-05,brooklyn prior
53.8,3.04213908671229e-05,brooklyn prior
53.9,3.04657168376763e-05,brooklyn prior
54,3.05100240250197e-05,brooklyn prior
54.1,3.05543124695203e-05,brooklyn prior
54.2,3.05985822113835e-05,brooklyn prior
54.3,3.06428332906536e-05,brooklyn prior
54.4,3.06870657472148e-05,brooklyn prior
54.5,3.07312796207924e-05,brooklyn prior
54.6,3.07754749509533e-05,brooklyn prior
54.7,3.08196517771072e-05,brooklyn prior
54.8,3.08638101385073e-05,brooklyn prior
54.9,3.09079500742515e-05,brooklyn prior
55,3.09520716232831e-05,brooklyn prior
55.1,3.09961748243916e-05,brooklyn prior
55.2,3.10402597162136e-05,brooklyn prior
55.3,3.1084326337234e-05,brooklyn prior
55.4,3.11283747257866e-05,brooklyn prior
55.5,3.11724049200547e-05,brooklyn prior
55.6,3.12164169580725e-05,brooklyn prior
55.7,3.12604108777256e-05,brooklyn prior
55.8,3.1304386716752e-05,brooklyn prior
55.9,3.13483445127428e-05,brooklyn prior
56,3.1392284303143e-05,brooklyn prior
56.1,3.14362061252527e-05,brooklyn prior
56.2,3.14801100162273e-05,brooklyn prior
56.3,3.15239960130788e-05,brooklyn prior
56.4,3.15678641526766e-05,brooklyn prior
56.5,3.16117144717478e-05,brooklyn prior
56.6,3.16555470068786e-05,brooklyn prior
56.7,3.16993617945147e-05,brooklyn prior
56.8,3.17431588709624e-05,brooklyn prior
56.9,3.17869382723889e-05,brooklyn prior
57,3.18307000348235e-05,brooklyn prior
57.1,3.18744441941583e-05,brooklyn prior
57.2,3.19181707861488e-05,brooklyn prior
57.3,3.19618798464146e-05,brooklyn prior
57.4,3.20055714104404e-05,brooklyn prior
57.5,3.20492455135766e-05,brooklyn prior
57.6,3.20929021910401e-05,brooklyn prior
57.7,3.2136541477915e-05,brooklyn prior
57.8,3.21801634091532e-05,brooklyn prior
57.9,3.22237680195753e-05,brooklyn prior
58,3.22673553438712e-05,brooklyn prior
58.1,3.23109254166009e-05,brooklyn prior
58.2,3.23544782721952e-05,brooklyn prior
58.3,3.23980139449563e-05,brooklyn prior
58.4,3.24415324690586e-05,brooklyn prior
58.5,3.24850338785493e-05,brooklyn prior
58.6,3.25285182073493e-05,brooklyn prior
58.7,3.25719854892534e-05,brooklyn prior
58.8,3.26154357579316e-05,brooklyn prior
58.9,3.26588690469294e-05,brooklyn prior
59,3.27022853896683e-05,brooklyn prior
59.1,3.2745684819447e-05,brooklyn prior
59.2,3.27890673694417e-05,brooklyn prior
59.3,3.28324330727065e-05,brooklyn prior
59.4,3.28757819621747e-05,brooklyn prior
59.5,3.29191140706589e-05,brooklyn prior
59.6,3.2962429430852e-05,brooklyn prior
59.7,3.30057280753275e-05,brooklyn prior
59.8,3.30490100365403e-05,brooklyn prior
59.9,3.30922753468274e-05,brooklyn prior
60,3.31355240384085e-05,brooklyn prior
60.1,3.31787561433864e-05,brooklyn prior
60.2,3.32219716937477e-05,brooklyn prior
60.3,3.32651707213639e-05,brooklyn prior
60.4,3.33083532579911e-05,brooklyn prior
60.5,3.33515193352713e-05,brooklyn prior
60.6,3.33946689847329e-05,brooklyn prior
60.7,3.34378022377909e-05,brooklyn prior
60.8,3.3480919125748e-05,brooklyn prior
60.9,3.35240196797947e-05,brooklyn prior
61,3.35671039310103e-05,brooklyn prior
61.1,3.36101719103633e-05,brooklyn prior
